epoch,train_loss,val_loss
0,12.783070396423339,9.642201301574707
1,8.008369369506836,7.479884601593017
2,6.900374496459961,7.047781753540039
3,6.5099442672729495,6.783393989562988
4,6.282744468688965,6.485227493286133
5,6.091163810729981,6.391118541717529
6,5.983595367431641,6.410037166595459
7,5.869794090270996,6.249319213867188
8,5.768241310119629,6.123381820678711
9,5.685670055389404,6.106775444030761
10,5.624726531982422,6.132715774536133
11,5.605129447937012,5.999582347869873
12,5.517062175750732,6.006132789611817
13,5.459613021850586,6.1143781814575195
14,5.423467811584473,5.883419040679931
15,5.389538787841797,5.996213470458985
16,5.328505058288574,5.913825729370117
17,5.289711578369141,5.820500865936279
18,5.235118762969971,5.775039791107178
19,5.176695419311524,5.74157829284668
20,5.150786251068115,5.876285537719727
21,5.112658706665039,5.780174022674561
22,5.05887553024292,5.7671245613098145
23,5.025627380371094,5.601394329071045
24,4.974552738189697,5.599914440155029
25,4.931082559585572,5.486873424530029
26,4.87485835647583,5.54030139541626
27,4.838278858184815,5.436007667541504
28,4.826188228607178,5.515614036560058
29,4.7780908012390135,5.646345436096191
30,4.726815420150757,5.381316780090332
31,4.667114423751831,5.404595542907715
32,4.657148559570312,5.503153903961182
33,4.638056241989136,5.370563404083252
34,4.619889266967774,5.449095924377441
35,4.58094766998291,5.299264865875244
36,4.5446787986755375,5.234509994506836
37,4.5211231231689455,5.22519820022583
38,4.45485655593872,5.307025703430176
39,4.4436780586242675,5.28998603439331
40,4.448250701904297,5.396048763275147
41,4.3986347351074215,5.199043626785278
42,4.40857772064209,5.3032332744598385
43,4.360531147003174,5.303098289489746
44,4.348627799987793,5.219599517822266
45,4.3113779525756835,5.150811235427857
46,4.2790208950042725,5.344049118041992
47,4.274118272781372,5.286710124969482
48,4.246939662933349,5.245240493774414
49,4.261374153137207,5.215419834136963
50,4.205251857757569,5.2572410163879395
51,4.190119686126709,5.352093700408935
52,4.184865531921386,5.293968158721924
53,4.174126708984375,5.246864059448242
54,4.132693305969238,5.240089569091797
55,4.138550659179687,5.297809638977051
56,4.113009098052978,5.1802722911834715
57,4.073642848968506,5.358045398712158
58,4.098252506256103,5.169621637344361
59,4.081854558944702,5.2422169532775875
60,4.042426605224609,5.1731689796447755
61,4.049264694213867,5.166534427642822
62,4.020755338668823,5.260249528884888
63,4.002478183746338,5.371025148391723
64,3.9676002902984617,5.297872186660767
65,3.981572971343994,5.208910366058349
66,3.9629817943573,5.401946405410767
67,3.9777390213012693,5.2004656314849855
68,3.901190589904785,5.232910234451294
69,3.892702449798584,5.273144300460816
70,3.8718334922790527,5.297733932495118
71,3.8836515235900877,5.4550008201599125
72,3.851947235107422,5.365374801635742
73,3.856104091644287,5.342612474441529
74,3.809077766418457,5.329106554031372
75,3.818753215789795,5.392575380325318
76,3.8260578880310057,5.76939485168457
77,3.8317758769989014,5.429731122970581
78,3.7706543045043945,5.247053503036499
79,3.792780628204346,5.25743927192688
