epoch,train_loss,val_loss
0,7.563164985656738,7.153595798492431
1,6.782880393981934,6.9229048843383785
2,6.512827674865723,6.647114528656006
3,6.273083862304688,6.409228507995605
4,6.061095851898194,6.216271118164062
5,5.881598155975341,6.0581461029052734
6,5.767978267669678,6.005691246032715
7,5.698435325622558,5.926744735717773
8,5.654027473449707,5.872526107788086
9,5.6147840881347655,5.894680465698242
10,5.584594554901123,5.810300075531006
11,5.551941188812256,5.78960803604126
12,5.5291438484191895,5.800805107116699
13,5.492245651245117,5.72359175491333
14,5.4736393699646,5.694167797088623
15,5.439468704223633,5.692580661773682
16,5.427293994903565,5.6296842079162595
17,5.39809959602356,5.645184219360352
18,5.377186489105225,5.589552864074707
19,5.340885559082031,5.584572811126709
20,5.329686645507812,5.530440040588379
21,5.308037002563476,5.554709049224853
22,5.276347007751465,5.508702167510986
23,5.261698249816894,5.538868309020996
24,5.240701683044434,5.486840427398682
25,5.2216668090820315,5.461593269348144
26,5.197674057006836,5.435140399932862
27,5.167434206008911,5.409740104675293
28,5.154396253585816,5.3835585441589355
29,5.138887790679932,5.36874764251709
30,5.113009574890136,5.381303447723389
31,5.102380062103271,5.347351024627685
32,5.083318515777588,5.368978130340576
33,5.078915176391601,5.3403342628479
34,5.061992248535156,5.336737022399903
35,5.044249607086182,5.334487743377686
36,5.038816738128662,5.312981525421143
37,5.025448825836182,5.327074069976806
38,5.016919153213501,5.348936836242676
39,5.012426288604736,5.306417121887207
40,4.992235466003418,5.306736114501953
41,4.982547294616699,5.345919887542725
42,4.979073390960694,5.290876644134522
43,4.970091346740722,5.303993644714356
44,4.954559223175049,5.27134871673584
45,4.948921451568603,5.287079135894776
46,4.943361457824707,5.2818932762146
47,4.937367090225219,5.273795207977295
48,4.92073369216919,5.286411357879639
49,4.9245155296325684,5.287607814788818
50,4.914785884857178,5.283524742126465
51,4.898476360321045,5.303012599945069
52,4.9027429313659665,5.295690261840821
53,4.892586681365967,5.253233619689942
54,4.8784740409851075,5.2788428153991696
55,4.878343166351319,5.259096824645996
56,4.8697663612365725,5.262165840148926
57,4.863545051574707,5.276067657470703
58,4.857460685729981,5.2611808052062985
59,4.8601101264953614,5.242565277099609
60,4.838420612335205,5.2737059516906735
61,4.8418987846374515,5.266567447662354
62,4.834911022186279,5.283243919372558
63,4.828395389556885,5.2545606269836425
64,4.8219637794494625,5.262361312866211
65,4.819162372589111,5.235829204559326
66,4.813766946792603,5.251620777130127
67,4.8031104507446285,5.267401454925537
68,4.788998205184937,5.286269668579101
69,4.795346630096436,5.273369510650634
70,4.780735298156738,5.305412643432617
71,4.781089799880982,5.290721351623535
72,4.766815059661865,5.285090663909912
73,4.777308116912842,5.2190561103820805
74,4.755563531875611,5.2514386653900145
75,4.75839720916748,5.243839988708496
76,4.755638259887696,5.242753433227539
77,4.737993911743164,5.271481758117676
78,4.745170337677002,5.243274755477906
79,4.738978116989136,5.26448957824707
