epoch,train_loss,val_loss
0,0.3940504193305969,0.004074787255376577
1,0.3809533417224884,0.0071375733241438866
2,0.36701294779777527,0.011936272494494915
3,0.3510262966156006,0.019534597173333168
4,0.3326967656612396,0.03137398511171341
5,0.3125571012496948,0.049424342811107635
6,0.2919979989528656,0.0760907232761383
7,0.2730184495449066,0.11296924203634262
8,0.25710999965667725,0.15759915113449097
9,0.24291813373565674,0.20136038959026337
10,0.22570951282978058,0.23447299003601074
11,0.20162010192871094,0.2537972629070282
12,0.1720752865076065,0.26566070318222046
13,0.14345477521419525,0.28815358877182007
14,0.12069667130708694,0.3467409014701843
15,0.0983787477016449,0.4609644412994385
16,0.07070736587047577,0.641913652420044
17,0.044418640434741974,0.8755471706390381
18,0.029217703267931938,1.086633563041687
19,0.01976219192147255,1.205362319946289
20,0.010390765964984894,1.2649511098861694
21,0.012784356251358986,1.3819878101348877
22,0.021084018051624298,1.6004693508148193
23,0.02301909774541855,1.7966855764389038
24,0.028726685792207718,1.7975620031356812
25,0.028065061196684837,1.6473627090454102
26,0.022136570885777473,1.5029864311218262
27,0.019544001668691635,1.4578437805175781
28,0.014184889383614063,1.4783819913864136
29,0.009075588546693325,1.4774055480957031
30,0.008213942870497704,1.4027392864227295
31,0.007114107720553875,1.2815297842025757
32,0.006287438794970512,1.175846815109253
33,0.007835266180336475,1.1268513202667236
